"Observations","Time.Spent.at.DentMax.Booth","Time.Spent.at.DentMed.OxyMax.Booth","Total.Time.spent.at.show","X..Buying.from.DentMax.in.the.past","Historical.Sales.Index","Sales.Frequency","Length.of.Relationship","Number.of.Referrals.Offered","Importance.of.Image.Quality","Importance.of.Diagnostic.Flexibility","Importance.of.Software.Intergation","Importance.of.Technical.Assistance","Importance.of.Price","Trust.in.TV.ads","Trust.in.Radio.Ads","Trust.in.Internet.Ads","Trust.in.Dental.Magazine.Ads","Trust.in.Peers"
"Respondent 1114","36","79","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1115","6","11","60","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1116","12","22","150","31","22","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1117","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1118","44","26","131","100","58","6","8","12","7","7","4","5","4","5","4","4","6","6"
"Respondent 1119","36","78","179","45","64","4","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 1120","45","26","130","99","59","6","8","12","6","7","5","5","4","5","4","3","7","6"
"Respondent 1121","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 1122","6","12","60","7","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1123","45","25","131","100","58","6","8","12","7","7","4","5","4","5","4","3","7","6"
"Respondent 1124","12","21","151","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 1125","36","78","180","45","64","4","9","2","6","5","6","6","6","5","4","6","6","7"
"Respondent 1126","12","20","150","32","20","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1127","36","79","179","46","64","5","9","2","6","6","6","6","6","4","5","6","6","6"
"Respondent 1128","36","78","180","45","64","4","9","2","6","6","7","6","6","4","5","6","6","6"
"Respondent 1129","12","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 1130","7","11","61","6","9","0","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 1131","12","20","150","33","21","3","4","0","5","5","5","7","7","5","5","4","5","6"
"Respondent 1132","6","11","60","6","8","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1133","36","79","180","44","63","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 1134","36","78","181","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1135","45","26","131","99","57","6","8","12","7","7","5","6","4","5","4","4","7","6"
"Respondent 1136","12","21","150","31","21","3","5","0","5","5","5","6","7","4","4","4","5","5"
"Respondent 1137","6","11","60","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1138","13","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 1139","12","21","150","31","21","3","4","1","5","5","5","6","6","5","5","4","5","6"
"Respondent 1140","36","78","180","45","65","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1141","12","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1142","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1143","45","26","130","100","59","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 1144","12","21","150","31","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1145","12","20","149","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1146","45","26","130","100","58","6","8","12","7","7","4","6","5","5","4","4","6","6"
"Respondent 1147","12","21","151","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1148","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 1149","13","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 1150","36","78","181","45","64","4","9","3","6","6","6","6","6","4","5","7","6","7"
"Respondent 1151","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1152","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","5"
"Respondent 1153","12","22","150","32","21","3","4","1","5","5","5","6","6","5","5","4","5","6"
"Respondent 1154","12","20","150","33","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1155","45","26","130","100","58","6","8","12","6","7","4","6","4","5","4","3","7","6"
"Respondent 1156","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1157","13","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","6","6"
"Respondent 1158","13","20","150","32","21","3","4","0","5","5","5","6","7","4","5","4","5","5"
"Respondent 1159","12","21","151","32","21","3","4","0","5","5","5","6","7","5","4","4","6","6"
"Respondent 1160","12","21","151","32","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 1161","13","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 1162","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1163","13","21","150","32","21","3","4","0","5","5","5","7","7","5","5","4","5","5"
"Respondent 1164","12","20","150","32","21","3","4","1","5","5","5","7","7","4","4","4","6","6"
"Respondent 1165","6","10","59","7","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1166","37","77","180","45","64","4","9","3","6","6","6","6","6","4","5","6","6","7"
"Respondent 1167","36","78","179","45","64","4","9","2","6","6","7","6","6","5","5","6","6","7"
"Respondent 1168","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1169","36","78","180","45","63","5","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 1170","13","21","150","33","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1171","12","22","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1172","13","22","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1173","36","77","179","45","63","5","9","2","6","5","6","5","6","4","5","6","6","7"
"Respondent 1174","36","78","179","45","64","5","9","3","6","6","6","6","6","4","5","6","6","7"
"Respondent 1175","36","78","180","46","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1176","6","11","60","7","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1177","45","27","130","100","58","6","8","12","6","7","4","6","4","5","4","4","6","6"
"Respondent 1178","36","79","179","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1179","12","21","150","32","21","3","4","1","5","5","5","6","7","4","5","3","5","6"
"Respondent 1180","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1181","36","78","180","46","64","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1182","46","27","130","99","58","6","8","12","6","7","5","5","4","5","4","4","7","6"
"Respondent 1183","45","26","130","99","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 1184","12","21","151","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1185","6","11","61","6","8","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 1186","12","21","150","32","21","3","4","0","5","6","5","6","7","5","5","4","5","6"
"Respondent 1187","6","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1188","45","27","130","101","59","6","8","12","7","7","4","5","5","5","4","4","6","6"
"Respondent 1189","45","26","130","100","59","6","8","12","6","7","4","6","4","5","4","4","6","6"
"Respondent 1190","35","78","180","46","64","4","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 1191","45","26","131","101","58","5","8","12","7","7","4","5","4","5","4","3","7","6"
"Respondent 1192","6","11","61","7","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1193","12","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1194","45","25","130","100","58","6","8","12","7","7","5","6","4","5","4","4","6","6"
"Respondent 1195","44","26","130","100","58","6","8","12","6","7","4","5","4","5","4","4","6","6"
"Respondent 1196","45","26","130","100","58","6","8","12","7","7","5","6","4","5","4","3","6","6"
"Respondent 1197","12","21","151","32","21","3","4","1","5","5","5","7","7","4","4","4","5","6"
"Respondent 1198","7","12","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1199","12","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 1200","36","79","180","44","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1201","12","21","150","32","21","3","4","0","5","5","5","6","6","4","4","4","5","6"
"Respondent 1202","36","78","180","45","64","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 1203","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","5"
"Respondent 1204","12","22","150","32","21","3","4","1","5","5","5","6","6","5","4","4","5","5"
"Respondent 1205","12","21","150","32","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 1206","12","21","150","33","20","3","4","0","5","5","5","6","7","5","5","4","6","5"
"Respondent 1207","45","26","130","100","58","6","8","12","6","7","4","6","4","5","4","4","6","6"
"Respondent 1208","6","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1209","13","21","150","33","20","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1210","35","78","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1211","12","21","150","33","20","3","4","0","5","5","5","6","6","4","4","4","5","6"
"Respondent 1212","12","21","150","33","21","3","4","1","5","5","5","7","7","4","5","4","5","6"
"Respondent 1213","36","78","180","45","64","5","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 1214","45","26","130","100","58","6","8","12","7","7","4","5","4","5","4","3","7","6"
"Respondent 1215","36","77","180","45","64","4","9","3","6","5","6","6","6","4","4","6","6","7"
"Respondent 1216","35","77","179","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1217","12","21","150","33","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1218","36","77","180","46","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1219","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1220","6","11","60","7","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1221","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1222","12","21","150","32","21","3","4","0","5","5","5","6","7","4","4","4","6","6"
"Respondent 1223","11","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 1224","7","11","60","5","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1225","12","21","150","32","22","3","5","1","5","6","5","6","7","5","5","4","6","6"
"Respondent 1226","6","12","60","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1227","12","20","151","33","21","3","5","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1228","12","22","150","33","21","3","5","0","5","5","5","6","6","4","5","4","5","5"
"Respondent 1229","44","25","130","101","59","6","8","12","7","7","5","5","4","5","4","4","7","6"
"Respondent 1230","12","21","149","32","21","3","4","0","5","5","4","6","7","5","5","4","6","6"
"Respondent 1231","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1232","12","21","150","32","22","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 1233","36","78","180","45","64","4","9","3","6","6","6","6","6","4","5","6","6","7"
"Respondent 1234","36","78","180","45","65","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 1235","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1236","44","26","132","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 1237","36","78","179","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1238","45","26","129","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 1239","11","22","150","32","20","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1240","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1241","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1242","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1243","12","21","150","32","21","3","4","0","5","5","5","6","6","5","5","4","5","6"
"Respondent 1244","13","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 1245","12","22","150","32","21","3","4","1","5","5","5","6","7","4","4","4","6","5"
"Respondent 1246","36","78","179","45","64","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 1247","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1248","12","22","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1249","12","21","150","32","21","3","5","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 1250","11","21","150","31","22","3","4","0","5","5","5","6","7","4","5","4","6","6"
"Respondent 1251","12","22","150","31","20","3","4","0","5","5","5","7","7","4","4","4","5","6"
"Respondent 1252","12","20","150","32","20","3","4","1","5","5","5","6","7","4","4","4","5","5"
"Respondent 1253","12","21","151","32","20","3","4","1","5","5","5","6","7","4","5","4","6","5"
"Respondent 1254","36","78","180","46","64","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1255","36","78","180","45","63","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1256","37","79","179","45","64","4","8","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1257","13","21","150","33","20","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1258","13","21","151","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1259","36","78","180","45","65","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 1260","12","21","151","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 1261","37","78","180","44","63","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1262","12","22","150","32","21","3","5","1","5","5","5","7","7","5","5","4","5","6"
"Respondent 1263","13","21","151","31","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 1264","36","78","181","45","64","5","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1265","12","21","150","32","21","3","5","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 1266","36","78","180","45","65","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1267","6","11","59","6","9","1","9","0","4","4","4","7","7","3","4","3","4","5"
"Respondent 1268","12","21","150","33","21","3","4","1","5","5","5","6","7","4","5","4","5","5"
"Respondent 1269","13","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 1270","36","78","181","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1271","11","21","150","33","22","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1272","12","22","150","31","22","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 1273","6","11","60","7","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1274","12","21","150","32","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 1275","12","22","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1276","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1277","36","78","181","45","65","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 1278","12","20","151","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1279","7","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1280","45","26","130","100","58","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 1281","6","11","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","6"
"Respondent 1282","12","21","149","33","21","3","4","0","5","5","5","6","7","5","4","4","6","5"
"Respondent 1283","12","21","150","33","20","3","4","0","5","5","5","6","7","5","5","4","5","5"
"Respondent 1284","35","78","181","45","64","4","9","3","6","6","7","6","6","4","5","6","6","7"
"Respondent 1285","36","78","180","45","64","4","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 1286","13","21","150","33","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1287","12","21","149","32","21","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 1288","36","78","179","45","64","4","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 1289","36","78","180","45","65","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1290","36","79","180","45","64","4","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 1291","12","22","150","31","21","3","5","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1292","6","12","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1293","12","21","150","32","21","3","4","1","5","5","5","7","6","5","5","4","5","6"
"Respondent 1294","12","21","150","32","22","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1295","12","21","150","33","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 1296","36","79","180","46","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1297","12","20","150","33","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 1298","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1299","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1300","5","11","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1301","36","78","179","45","65","5","9","2","6","6","6","6","6","4","5","6","5","7"
"Respondent 1302","12","21","149","32","21","3","4","0","5","6","5","6","7","5","5","4","5","6"
"Respondent 1303","36","79","179","45","64","5","9","2","6","6","7","6","6","5","5","6","6","7"
"Respondent 1304","12","21","150","33","21","3","4","1","5","5","5","6","7","4","4","4","6","6"
"Respondent 1305","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 1306","45","26","130","100","58","6","8","12","6","7","4","5","4","5","4","4","7","6"
"Respondent 1307","45","27","130","99","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 1308","12","21","150","33","20","3","4","0","5","5","4","6","7","4","4","4","5","6"
"Respondent 1309","6","11","60","7","9","1","9","0","4","4","5","7","7","4","3","3","4","5"
"Respondent 1310","11","21","150","33","21","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 1311","12","21","150","33","21","3","5","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1312","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 1313","13","22","150","33","20","3","5","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 1314","45","26","130","100","58","6","8","12","7","7","4","5","4","5","4","4","6","6"
"Respondent 1315","45","26","130","100","59","6","8","12","6","7","4","5","4","5","4","4","7","6"
"Respondent 1316","45","26","130","100","58","6","8","12","7","6","4","6","4","5","4","4","7","6"
"Respondent 1317","12","21","150","32","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 1318","44","27","130","100","59","6","8","12","7","7","4","5","5","5","4","4","6","6"
"Respondent 1319","13","20","150","32","20","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1320","45","26","129","100","57","6","8","12","6","7","5","6","4","5","4","4","7","6"
"Respondent 1321","7","12","60","6","9","0","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 1322","13","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","6","6"
"Respondent 1323","11","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1324","36","77","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1325","12","21","150","31","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 1326","12","22","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1327","36","78","179","45","64","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 1328","5","12","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1329","36","78","180","45","65","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1330","35","78","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1331","12","20","150","32","22","3","4","0","5","5","5","6","6","5","4","4","6","6"
"Respondent 1332","13","21","150","32","22","3","4","1","5","6","5","6","7","5","5","4","5","6"
"Respondent 1333","36","78","180","45","64","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 1334","12","21","151","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1335","11","22","150","31","22","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1336","13","21","150","32","21","3","5","1","5","5","5","6","6","5","4","4","5","6"
"Respondent 1337","36","78","180","45","65","4","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 1338","6","12","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1339","12","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 1340","12","20","150","32","21","3","4","0","5","5","5","6","7","4","4","4","6","6"
"Respondent 1341","12","21","150","33","22","3","5","0","5","5","5","6","7","4","4","4","6","6"
"Respondent 1342","36","79","180","46","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1343","36","78","180","46","63","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1344","12","21","151","32","21","4","4","0","5","5","4","6","7","5","5","4","5","6"
"Respondent 1345","12","21","150","31","21","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 1346","36","78","180","44","65","4","9","2","6","5","6","6","6","5","5","6","5","7"
"Respondent 1347","36","79","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1348","46","26","130","100","58","6","8","12","7","7","4","6","4","5","4","3","6","6"
"Respondent 1349","12","21","150","32","21","3","4","1","5","5","5","6","6","5","5","4","5","6"
"Respondent 1350","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1351","11","21","150","32","22","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1352","35","78","180","45","65","5","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 1353","11","21","149","32","20","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 1354","12","21","149","32","21","3","4","1","5","6","5","6","7","5","4","4","6","5"
"Respondent 1355","13","22","149","32","20","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1356","37","79","180","45","64","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 1357","45","26","131","100","58","6","8","12","7","7","4","6","5","5","4","4","7","6"
"Respondent 1358","13","21","150","32","22","3","4","0","5","5","5","6","7","4","4","3","5","6"
"Respondent 1359","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1360","37","79","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1361","36","78","181","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1362","12","21","151","32","21","3","4","1","5","5","5","6","7","4","5","4","6","6"
"Respondent 1363","7","12","59","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1364","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1365","7","11","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1366","11","20","151","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 1367","45","27","130","101","58","5","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 1368","12","20","150","32","22","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 1369","6","10","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1370","11","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","5"
"Respondent 1371","36","78","180","45","64","5","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 1372","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1373","36","78","180","45","64","5","9","2","6","5","6","5","6","4","5","6","6","7"
"Respondent 1374","36","78","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 1375","12","20","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 1376","36","79","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1377","12","21","150","31","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 1378","11","22","150","32","20","3","4","0","5","5","5","6","7","4","4","4","5","5"
"Respondent 1379","37","78","180","45","64","4","9","2","7","6","7","6","6","4","5","6","6","7"
"Respondent 1380","12","22","150","31","21","3","4","1","5","5","5","6","6","4","5","4","5","6"
"Respondent 1381","45","25","130","99","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 1382","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1383","45","26","131","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 1384","12","21","150","32","21","3","4","0","5","5","5","6","6","4","5","4","5","6"
"Respondent 1385","44","25","131","99","59","6","8","12","7","7","5","6","4","5","4","3","7","6"
"Respondent 1386","37","78","180","45","64","4","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 1387","45","25","130","100","58","6","8","12","7","7","5","5","4","5","4","3","7","6"
"Respondent 1388","36","77","180","45","64","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1389","36","77","180","45","64","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 1390","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 1391","11","21","150","32","22","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 1392","12","21","150","32","20","3","5","1","5","5","5","6","7","4","5","4","6","5"
"Respondent 1393","36","78","180","45","63","4","9","2","6","6","7","6","6","5","5","6","6","7"
"Respondent 1394","46","25","131","100","59","6","8","12","6","7","4","6","5","5","4","3","7","6"
"Respondent 1395","12","21","151","33","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 1396","12","22","150","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 1397","7","12","59","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1398","12","22","151","33","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 1399","45","26","130","101","58","6","8","12","7","7","5","5","4","5","4","4","7","6"
"Respondent 1400","35","79","179","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 1401","6","11","61","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1402","6","12","60","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1403","12","21","149","32","21","3","5","0","5","5","5","6","7","4","4","4","6","5"
"Respondent 1404","12","22","150","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 1405","45","26","130","100","58","6","8","12","6","7","4","5","4","5","4","4","7","6"
"Respondent 1406","36","77","179","45","64","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 1407","6","12","60","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 1408","12","21","150","32","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 1409","36","78","180","45","64","4","9","2","6","6","7","6","6","4","4","6","6","7"
"Respondent 1410","13","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 1411","6","11","61","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
